date,venue,level,score,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,ball_7,ball_8,ball_9,ball_10,ball_11,ball_12,ball_13,ball_14,ball_15,ball_16,ball_17,ball_18,ball_19,ball_20
6/6/2022,Greenville,2,109,5,10,14,10,6,4,14,8,12,6,6,8,6,0,0,0,0,0,0,0
12/29/2022,Greenville,3,98,4,10,0,5,0,0,0,4,6,3,4,6,8,10,6,3,5,8,10,6
12/29/2022,Greenville,3,111,3,4,20,6,4,4,10,6,4,5,8,8,0,0,17,8,0,0,0,4
2/13/2023,Greenville,1,99,0,3,3,4,6,6,10,12,12,14,0,4,0,3,0,5,8,6,3,0
3/9/2023,Greenville,3,97,5,12,6,4,8,0,6,0,3,4,10,12,8,6,3,3,0,3,4,0
3/9/2023,Greenville,2,97,7,8,4,3,3,4,10,6,7,8,4,0,4,8,17,0,0,0,0,4
3/9/2023,Greenville,2,110,4,0,3,3,6,6,0,4,3,3,4,10,12,6,16,12,6,5,0,7
3/9/2023,Greenville,2,76,3,0,3,5,10,8,0,0,3,3,6,6,6,6,3,3,4,0,3,4
